,d,Geographic Area N,Total,Male,Female,Total Under 18 year,Male Under 18 year,Female Under 18 year,Total 60 years and over,Male 60 years and over,Female 60 years and over,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Old-age dependency ratio,Child dependency ratio,county_state_name,full_county_fips,percent_under18,percent_over60,COUNTYFIPS,hospital_bed_count,hospital_count
0,0500000US01117,"Shelby County, Alabama",215707,105022,110685,48670,25382,23288,47098,21899,25199,40.4,94.9,61.3,24.9,36.4,"Shelby County, Alabama",01117,22.563013717681855,21.834247381865215,01117,349.0,3.0
1,0500000US01121,"Talladega County, Alabama",79828,38489,41339,16810,8292,8518,20479,8991,11488,41.5,93.1,64.3,29.7,34.6,"Talladega County, Alabama",01121,21.057774214561306,25.653905897680012,01121,285.0,2.0
2,0500000US01125,"Tuscaloosa County, Alabama",208911,99576,109335,43992,21652,22340,39432,18110,21322,33.0,91.1,52.0,20.0,32.0,"Tuscaloosa County, Alabama",01125,21.05777101253644,18.875023335295893,01125,933.0,4.0
3,0500000US04021,"Pinal County, Arizona",447138,233292,213846,101143,52140,49003,118634,56331,62303,39.8,109.1,75.2,35.6,39.6,"Pinal County, Arizona",04021,22.620085968984966,26.53185370064723,04021,249.0,3.0
4,0500000US06045,"Mendocino County, California",87606,43017,44589,18535,9033,9502,25968,12178,13790,42.9,96.5,75.2,38.1,37.1,"Mendocino County, California",06045,21.1572266739721,29.641805355797544,06045,141.0,3.0
5,0500000US06059,"Orange County, California",3185968,1573189,1612779,698786,357863,340923,659502,300043,359459,38.3,97.5,58.0,23.4,34.7,"Orange County, California",06059,21.933239756331513,20.70020791169277,06059,8444.0,41.0
6,0500000US06067,"Sacramento County, California",1540975,752842,788133,363911,185405,178506,310577,138464,172113,36.4,95.5,60.6,22.7,37.9,"Sacramento County, California",06067,23.61563295965217,20.154577459076233,06067,4159.0,18.0
7,0500000US12017,"Citrus County, Florida",147929,72104,75825,21949,10741,11208,68279,32959,35320,57.2,95.1,105.0,74.6,30.4,"Citrus County, Florida",12017,14.837523406499065,46.15660215373592,12017,332.0,2.0
8,0500000US17143,"Peoria County, Illinois",180621,87818,92803,42559,21480,21079,42897,19618,23279,38.0,94.6,67.5,28.0,39.5,"Peoria County, Illinois",17143,23.562597926044038,23.749730097829154,17143,1122.0,4.0
9,0500000US18059,"Hancock County, Indiana",76351,37401,38950,17780,8866,8914,17026,8040,8986,38.8,96.0,67.4,28.4,39.0,"Hancock County, Indiana",18059,23.287186808293278,22.29964244083247,18059,68.0,1.0
10,0500000US18067,"Howard County, Indiana",82366,39675,42691,18632,9553,9079,21163,9393,11770,42.1,92.9,72.3,33.3,39.0,"Howard County, Indiana",18067,22.620984386761528,25.69385426025302,18067,254.0,3.0
11,0500000US22105,"Tangipahoa Parish, Louisiana",133777,65151,68626,32871,16920,15951,26868,11903,14965,36.3,94.9,63.5,23.3,40.2,"Tangipahoa Parish, Louisiana",22105,24.571488372440704,20.084169924575974,22105,424.0,9.0
12,0500000US25003,"Berkshire County, Massachusetts",126348,61499,64849,21564,11413,10151,39858,17889,21969,47.3,94.8,67.2,38.7,28.5,"Berkshire County, Massachusetts",25003,17.06714787729129,31.546205717542026,25003,359.0,3.0
13,0500000US27139,"Scott County, Minnesota",147381,72552,74829,40100,20118,19982,23675,10252,13423,37.0,97.0,62.0,17.9,44.1,"Scott County, Minnesota",27139,27.208391855123793,16.063807410724586,27139,142.0,2.0
14,0500000US36087,"Rockland County, New York",325695,160230,165465,91712,47212,44500,70767,31462,39305,35.9,96.8,78.1,27.9,50.2,"Rockland County, New York",36087,28.15886028339397,21.727997052457056,36087,1169.0,4.0
15,0500000US36105,"Sullivan County, New York",75498,38858,36640,16002,8306,7696,19409,9530,9879,42.7,106.1,66.7,31.3,35.3,"Sullivan County, New York",36105,21.195263450687435,25.70796577392779,36105,169.0,2.0
16,0500000US37037,"Chatham County, North Carolina",73139,35221,37918,14993,7639,7354,23235,10858,12377,46.9,92.9,81.6,44.4,37.2,"Chatham County, North Carolina",37037,20.499323206497216,31.76827684272413,37037,25.0,1.0
17,0500000US37085,"Harnett County, North Carolina",134214,66838,67376,34930,18208,16722,23720,10832,12888,34.9,99.2,63.2,20.7,42.5,"Harnett County, North Carolina",37085,26.025600906015768,17.67326806443441,37085,167.0,2.0
18,0500000US37195,"Wilson County, North Carolina",81455,37267,44188,18683,8422,10261,20750,9148,11602,40.7,84.3,69.8,30.9,38.9,"Wilson County, North Carolina",37195,22.936590755631943,25.474188202074764,37195,317.0,1.0
19,0500000US39007,"Ashtabula County, Ohio",97493,49312,48181,21423,11309,10114,26501,11863,14638,43.1,102.3,69.6,32.3,37.3,"Ashtabula County, Ohio",39007,21.97388530458597,27.182464382058196,39007,429.0,5.0
20,0500000US39013,"Belmont County, Ohio",67505,34519,32986,13271,6702,6569,20088,9204,10884,45.1,104.6,69.3,36.0,33.3,"Belmont County, Ohio",39013,19.659284497444634,29.757795718835645,39013,300.0,4.0
21,0500000US40031,"Comanche County, Oklahoma",120422,62558,57864,28335,14241,14094,22390,9890,12500,33.3,108.1,56.7,19.8,36.9,"Comanche County, Oklahoma",40031,23.529753699490126,18.59294813240106,40031,538.0,4.0
22,0500000US42013,"Blair County, Pennsylvania",122492,59228,63264,24260,12349,11911,33697,14922,18775,44.0,93.6,68.4,35.0,33.4,"Blair County, Pennsylvania",42013,19.80537504490089,27.509551644189006,42013,598.0,5.0
23,0500000US42039,"Crawford County, Pennsylvania",85063,41603,43460,17737,9009,8728,24165,11317,12848,43.2,95.7,70.9,35.3,35.6,"Crawford County, Pennsylvania",42039,20.85160410519262,28.408356159552334,42039,289.0,2.0
24,0500000US42051,"Fayette County, Pennsylvania",130441,64372,66069,24914,12468,12446,38235,17404,20831,45.1,97.4,67.6,35.6,32.0,"Fayette County, Pennsylvania",42051,19.099822908441364,29.31210278976702,42051,283.0,2.0
25,0500000US47113,"Madison County, Tennessee",97605,46509,51096,21894,11490,10404,23882,10574,13308,38.7,91.0,65.1,28.0,37.0,"Madison County, Tennessee",47113,22.43122790840633,24.468008811024024,47113,835.0,3.0
26,0500000US48027,"Bell County, Texas",355642,177081,178561,98693,50653,48040,54161,24038,30123,30.9,99.2,62.9,17.7,45.2,"Bell County, Texas",48027,27.75065937094044,15.229078680245864,48027,1091.0,7.0
27,0500000US48061,"Cameron County, Texas",423908,206053,217855,128762,65717,63045,75340,32776,42564,32.4,94.6,78.8,24.5,54.3,"Cameron County, Texas",48061,30.37498702548666,17.77272427036055,48061,1519.0,10.0
28,0500000US49057,"Weber County, Utah",256359,128298,128061,72520,36502,36018,42591,19111,23480,33.2,100.2,66.2,19.2,47.0,"Weber County, Utah",49057,28.288454862126937,16.613811100839058,49057,477.0,2.0
29,0500000US51165,"Rockingham County, Virginia",81244,39572,41672,17790,8959,8831,21600,9774,11826,41.1,95.0,68.4,31.5,36.9,"Rockingham County, Virginia",51165,21.897001624735367,26.586578701196395,51165,238.0,1.0
30,0500000US51700,"Newport News city, Virginia",178626,87141,91485,41278,21898,19380,34393,15972,18421,33.8,95.3,56.8,20.6,36.2,"Newport News city, Virginia",51700,23.108618006337263,19.254195917727543,51700,792.0,5.0
31,0500000US51710,"Norfolk city, Virginia",244076,127098,116978,47774,24163,23611,40557,17829,22728,30.7,108.7,44.4,16.1,28.3,"Norfolk city, Virginia",51710,19.573411560333668,16.616545666104003,51710,1400.0,7.0
32,0500000US51810,"Virginia Beach city, Virginia",450189,221277,228912,99439,50955,48484,90171,39206,50965,36.5,96.7,56.9,22.3,34.7,"Virginia Beach city, Virginia",51810,22.088278478594546,20.02958757321925,51810,700.0,4.0
33,0500000US53007,"Chelan County, Washington",77036,38586,38450,18053,9050,9003,19243,9282,9961,39.2,100.4,72.9,32.4,40.5,"Chelan County, Washington",53007,23.434498156705956,24.979230489641207,53007,251.0,4.0
34,0500000US01015,"Calhoun County, Alabama",114277,55054,59223,24484,12399,12085,28370,12107,16263,40.1,93.0,65.0,29.6,35.3,"Calhoun County, Alabama",01015,21.42513366644207,24.82564295527534,01015,590.0,4.0
35,0500000US08005,"Arapahoe County, Colorado",651215,323168,328047,152661,78200,74461,123453,56197,67256,36.9,98.5,57.5,20.6,36.9,"Arapahoe County, Colorado",08005,23.442488271922485,18.95733359950247,08005,1018.0,7.0
36,0500000US13013,"Barrow County, Georgia",80809,39917,40892,20961,11313,9648,14226,6251,7975,36.3,97.6,62.9,20.6,42.3,"Barrow County, Georgia",13013,25.938942444529694,17.60447474909973,13013,56.0,1.0
37,0500000US13157,"Jackson County, Georgia",70422,34762,35660,17896,9132,8764,13979,6708,7271,38.3,97.5,66.6,24.2,42.3,"Jackson County, Georgia",13157,25.41251313509983,19.850330862514557,13157,257.0,1.0
38,0500000US13245,"Richmond County, Georgia",201554,96104,105450,45628,21787,23841,42346,17880,24466,34.4,91.1,57.7,22.0,35.7,"Richmond County, Georgia",13245,22.63810194786509,21.009754209789932,13245,2470.0,9.0
39,0500000US13285,"Troup County, Georgia",70034,32962,37072,17162,8440,8722,14772,6154,8618,36.4,88.9,63.6,23.5,40.1,"Troup County, Georgia",13285,24.50524031184853,21.092612159808095,13285,276.0,1.0
40,0500000US19061,"Dubuque County, Iowa",96854,47876,48978,21527,10392,11135,23860,10798,13062,38.4,97.8,67.3,30.1,37.2,"Dubuque County, Iowa",19061,22.22623742953311,24.635017655440148,19061,470.0,3.0
41,0500000US21227,"Warren County, Kentucky",131264,64686,66578,30077,15410,14667,23899,10291,13608,33.0,97.2,56.6,20.7,35.9,"Warren County, Kentucky",21227,22.913365431496832,18.206819843978547,21227,733.0,4.0
42,0500000US27019,"Carver County, Minnesota",103551,50636,52915,27756,13837,13919,18200,8199,10001,38.1,95.7,64.1,20.1,44.0,"Carver County, Minnesota",27019,26.80418344583828,17.57588048401271,27019,109.0,1.0
43,0500000US28075,"Lauderdale County, Mississippi",75317,36101,39216,17728,8545,9183,17239,7847,9392,37.4,92.1,68.7,29.0,39.7,"Lauderdale County, Mississippi",28075,23.537846701275942,22.888590889175088,28075,988.0,7.0
44,0500000US28081,"Lee County, Mississippi",85202,41053,44149,20753,10414,10339,17917,7614,10303,37.1,93.0,62.7,23.1,39.6,"Lee County, Mississippi",28081,24.357409450482383,21.028849088049576,28081,700.0,2.0
45,0500000US28121,"Rankin County, Mississippi",153902,74616,79286,35671,18570,17101,32059,13816,18243,38.0,94.1,62.4,24.8,37.6,"Rankin County, Mississippi",28121,23.177736481657156,20.83078842380216,28121,2081.0,7.0
46,0500000US36111,"Ulster County, New York",178599,88542,90057,31311,15602,15709,49420,22680,26740,43.3,98.3,59.2,31.3,27.9,"Ulster County, New York",36111,17.53145314363462,27.670927608777205,36111,325.0,3.0
47,0500000US37183,"Wake County, North Carolina",1092305,531608,560697,261532,132966,128566,182863,81397,101466,36.4,94.8,55.2,18.0,37.2,"Wake County, North Carolina",37183,23.943129437290867,16.741020136317236,37183,1781.0,5.0
48,0500000US39093,"Lorain County, Ohio",309461,152537,156924,68263,35350,32913,79585,35411,44174,42.1,97.2,67.9,30.9,37.0,"Lorain County, Ohio",39093,22.058676214450287,25.717295555821252,39093,840.0,5.0
49,0500000US40119,"Payne County, Oklahoma",82040,42030,40010,16208,8266,7942,14821,6718,8103,27.8,105.0,49.6,20.0,29.5,"Payne County, Oklahoma",40119,19.756216479765968,18.065577766942955,40119,216.0,2.0
50,0500000US40131,"Rogers County, Oklahoma",91984,45795,46189,21479,11016,10463,20639,9534,11105,39.7,99.1,65.7,27.0,38.7,"Rogers County, Oklahoma",40131,23.350800139154636,22.43759784310315,40131,81.0,1.0
51,0500000US42081,"Lycoming County, Pennsylvania",113664,54669,58995,23317,11172,12145,30539,13876,16663,41.7,92.7,66.1,32.0,34.1,"Lycoming County, Pennsylvania",42081,20.51397100225225,26.867785754504503,42081,302.0,4.0
53,0500000US45085,"Sumter County, South Carolina",106512,51530,54982,25144,13127,12017,23793,10705,13088,36.7,93.7,66.9,27.5,39.4,"Sumter County, South Carolina",45085,23.606729758149317,22.33832807570978,45085,283.0,1.0
54,0500000US47147,"Robertson County, Tennessee",71012,34958,36054,16931,8460,8471,14932,6956,7976,39.2,97.0,61.6,23.0,38.5,"Robertson County, Tennessee",47147,23.84244916352166,21.02743198332676,47147,109.0,1.0
55,0500000US48085,"Collin County, Texas",1005146,494709,510437,260477,132804,127673,159747,72207,87540,37.2,96.9,58.5,17.4,41.1,"Collin County, Texas",48085,25.914344781753094,15.892915059105842,48085,2665.0,28.0
56,0500000US49045,"Tooele County, Utah",69907,35716,34191,22890,11950,10940,10681,5154,5527,31.6,104.5,71.9,15.6,56.3,"Tooele County, Utah",49045,32.743502081336636,15.278870499377744,49045,31.0,1.0
57,0500000US53041,"Lewis County, Washington",79604,39969,39635,16999,8960,8039,23303,10885,12418,43.4,100.8,73.0,36.0,36.9,"Lewis County, Washington",53041,21.354454550022613,29.273654590221597,53041,125.0,2.0
58,0500000US53053,"Pierce County, Washington",891299,443778,447521,209271,107420,101851,176887,82272,94615,36.4,99.2,59.5,22.1,37.5,"Pierce County, Washington",53053,23.479326241811112,19.84597761245104,53053,2538.0,12.0
59,0500000US54061,"Monongalia County, West Virginia",106420,55123,51297,17697,9458,8239,19179,9169,10010,32.4,107.5,40.9,17.4,23.4,"Monongalia County, West Virginia",54061,16.629392971246006,18.021988348054876,54061,940.0,3.0
60,0500000US55009,"Brown County, Wisconsin",263378,131002,132376,62704,32043,30661,55808,26408,29400,38.1,99.0,63.3,24.4,38.9,"Brown County, Wisconsin",55009,23.80760731723986,21.18931725504788,55009,1278.0,8.0
61,0500000US06115,"Yuba County, California",78041,39819,38222,21261,11356,9905,14990,6912,8078,33.8,104.2,64.7,19.8,44.9,"Yuba County, California",06115,27.243372073653592,19.20785228277444,06115,173.0,1.0
62,0500000US13051,"Chatham County, Georgia",289195,139000,150195,61165,31248,29917,60778,25846,34932,36.0,92.5,57.3,24.0,33.3,"Chatham County, Georgia",13051,21.15008904026695,21.016269299261744,13051,1717.0,9.0
63,0500000US13063,"Clayton County, Georgia",289615,135117,154498,80557,40366,40191,41115,17568,23547,32.4,87.5,59.0,14.8,44.2,"Clayton County, Georgia",13063,27.815202941836574,14.196433195794416,13063,558.0,4.0
64,0500000US13113,"Fayette County, Georgia",113459,55380,58079,26094,13833,12261,27937,12679,15258,43.5,95.4,69.1,30.2,38.9,"Fayette County, Georgia",13113,22.998616240227747,24.62299156523502,13113,157.0,1.0
65,0500000US13223,"Paulding County, Georgia",164044,79993,84051,43620,21897,21723,24743,10770,13973,35.9,95.2,58.4,16.3,42.1,"Paulding County, Georgia",13223,26.590426958620856,15.08314842359367,13223,299.0,2.0
66,0500000US17043,"DuPage County, Illinois",928589,456716,471873,210579,108381,102198,207758,94918,112840,39.5,96.8,61.7,25.0,36.7,"DuPage County, Illinois",17043,22.677309337069467,22.373515085791453,17043,1880.0,7.0
67,0500000US17089,"Kane County, Illinois",534216,266324,267892,135996,69860,66136,102960,47771,55189,37.7,99.4,64.3,22.5,41.8,"Kane County, Illinois",17089,25.457118468933913,19.273103014510983,17089,1101.0,5.0
68,0500000US18089,"Lake County, Indiana",484411,234684,249727,113030,57884,55146,113549,50384,63165,39.1,94.0,66.2,27.4,38.8,"Lake County, Indiana",18089,23.333491601140356,23.440632025284312,18089,2605.0,14.0
69,0500000US21059,"Daviess County, Kentucky",101104,49475,51629,24701,12803,11898,23802,10601,13201,38.0,95.8,70.3,28.7,41.6,"Daviess County, Kentucky",21059,24.43127868333597,23.542095268238644,21059,527.0,2.0
70,0500000US21185,"Oldham County, Kentucky",66470,34749,31721,17124,8242,8882,12881,6097,6784,39.2,109.5,63.3,21.3,42.1,"Oldham County, Kentucky",21185,25.76199789378667,19.37866706785016,21185,187.0,2.0
71,0500000US25009,"Essex County, Massachusetts",790638,381869,408769,168346,86092,82254,186975,82713,104262,41.1,93.4,62.2,27.7,34.5,"Essex County, Massachusetts",25009,21.292424598868255,23.648623010783695,25009,1443.0,14.0
72,0500000US26163,"Wayne County, Michigan",1753893,844941,908952,414230,211644,202586,386924,170135,216789,38.1,93.0,64.0,25.3,38.7,"Wayne County, Michigan",26163,23.61774635054704,22.06086688298545,26163,6079.0,27.0
73,0500000US29165,"Platte County, Missouri",102985,50777,52208,24332,12858,11474,21196,10262,10934,38.1,97.3,61.9,23.6,38.2,"Platte County, Missouri",29165,23.626741758508523,20.581638102636308,29165,97.0,1.0
74,0500000US36053,"Madison County, New York",70795,34819,35976,13477,6680,6797,18851,9167,9684,42.4,96.8,60.1,29.6,30.5,"Madison County, New York",36053,19.036655131012076,26.627586693975562,36053,126.0,2.0
75,0500000US37159,"Rowan County, North Carolina",141262,71297,69965,31435,18255,13180,32944,14620,18324,40.3,101.9,65.7,28.9,36.9,"Rowan County, North Carolina",37159,22.252976738259406,23.321204570231203,37159,268.0,1.0
76,0500000US39029,"Columbiana County, Ohio",102665,51589,51076,20872,10222,10650,29161,13403,15758,44.4,101.0,69.4,34.9,34.4,"Columbiana County, Ohio",39029,20.330200165587105,28.404032532995664,39029,351.0,2.0
77,0500000US41059,"Umatilla County, Oregon",77516,39788,37728,19889,9447,10442,16703,8076,8627,37.2,105.5,69.6,26.1,43.5,"Umatilla County, Oregon",41059,25.657928685690695,21.547809484493524,41059,539.0,4.0
78,0500000US42045,"Delaware County, Pennsylvania",564751,272087,292664,123763,63560,60203,128930,56885,72045,39.0,93.0,62.0,26.5,35.5,"Delaware County, Pennsylvania",42045,21.914613697009834,22.829530182328142,42045,1162.0,6.0
79,0500000US42073,"Lawrence County, Pennsylvania",86184,41919,44265,16795,8554,8241,26361,11812,14549,45.5,94.7,71.0,37.6,33.3,"Lawrence County, Pennsylvania",42073,19.48737584702497,30.58688387635756,42073,316.0,2.0
80,0500000US47157,"Shelby County, Tennessee",935764,445278,490486,233189,118335,114854,191123,82531,108592,36.0,90.8,62.6,22.1,40.5,"Shelby County, Tennessee",47157,24.919637857408492,20.42427364164469,47157,5491.0,23.0
81,0500000US04003,"Cochise County, Arizona",126770,64995,61775,27247,14015,13232,38672,18794,19878,41.0,105.2,78.2,39.9,38.3,"Cochise County, Arizona",04003,21.4932555020904,30.505640135678792,04003,267.0,5.0
82,0500000US04005,"Coconino County, Arizona",142854,70521,72333,29455,15138,14317,25698,12494,13204,30.8,97.5,49.5,18.6,30.8,"Coconino County, Arizona",04005,20.618953616979574,17.98899575790667,04005,308.0,3.0
83,0500000US06023,"Humboldt County, California",136373,68722,67651,26135,14056,12079,35287,16721,18566,38.5,101.6,58.7,28.3,30.4,"Humboldt County, California",06023,19.164350714584266,25.875356558849628,06023,299.0,6.0
84,0500000US06039,"Madera County, California",157672,76573,81099,43123,21454,21669,30154,14381,15773,34.3,94.4,70.5,23.9,46.6,"Madera County, California",06039,27.34981480541884,19.124511644426402,06039,462.0,2.0
85,0500000US12097,"Osceola County, Florida",367990,179155,188835,89970,43737,46233,69040,30650,38390,35.7,94.9,60.3,21.1,39.2,"Osceola County, Florida",12097,24.449033941139707,18.761379385309386,12097,997.0,6.0
86,0500000US13059,"Clarke County, Georgia",127330,61122,66208,21439,11358,10081,20634,9181,11453,28.2,92.3,40.1,16.5,23.6,"Clarke County, Georgia",13059,16.83735176313516,16.205136260111523,13059,574.0,3.0
87,0500000US13313,"Whitfield County, Georgia",104062,51621,52441,27387,14238,13149,20054,8657,11397,37.0,98.4,67.6,23.5,44.1,"Whitfield County, Georgia",13313,26.317964290519114,19.27120370548327,13313,282.0,1.0
88,0500000US16019,"Bonneville County, Idaho",116854,58838,58016,36116,18680,17436,20981,9766,11215,33.4,101.4,77.9,22.9,55.0,"Bonneville County, Idaho",16019,30.906943707532474,17.954883872182382,16019,332.0,2.0
89,0500000US22109,"Terrebonne Parish, Louisiana",111021,53314,57707,28293,14245,14048,23036,10398,12638,36.1,92.4,68.0,25.2,42.8,"Terrebonne Parish, Louisiana",22109,25.484367822303888,20.749227623602742,22109,367.0,4.0
90,0500000US24015,"Cecil County, Maryland",102826,50795,52031,23118,11733,11385,24987,11344,13643,41.3,97.6,61.9,25.5,36.4,"Cecil County, Maryland",24015,22.4826405772859,24.30027424970338,24015,122.0,1.0
91,0500000US24037,"St. Mary's County, Maryland",112664,55523,57141,27201,13546,13655,21778,10504,11274,37.5,97.2,59.9,21.3,38.6,"St. Mary's County, Maryland",24037,24.1434708513811,19.330043314634665,24037,95.0,1.0
92,0500000US25001,"Barnstable County, Massachusetts",213413,101183,112230,32580,16611,15969,84127,36902,47225,53.8,90.2,85.0,56.7,28.2,"Barnstable County, Massachusetts",25001,15.266174038132634,39.419810414548316,25001,407.0,3.0
93,0500000US25021,"Norfolk County, Massachusetts",705388,338835,366553,147526,74926,72600,165458,72778,92680,40.7,92.4,60.7,27.1,33.6,"Norfolk County, Massachusetts",25021,20.914163552541297,23.456310569502175,25021,1786.0,12.0
94,0500000US27163,"Washington County, Minnesota",259201,128302,130899,63648,32419,31229,54325,25056,29269,39.6,98.0,65.3,24.7,40.6,"Washington County, Minnesota",27163,24.555460819981402,20.958638276858498,27163,183.0,2.0
95,0500000US34033,"Salem County, New Jersey",62607,30819,31788,13607,7444,6163,16661,7820,8841,41.6,97.0,68.0,31.5,36.5,"Salem County, New Jersey",34033,21.73399140671171,26.612040187199515,34033,222.0,2.0
96,0500000US34035,"Somerset County, New Jersey",331164,161936,169228,72516,37261,35255,76048,34182,41866,41.7,95.7,60.0,24.9,35.0,"Somerset County, New Jersey",34035,21.897307678370836,22.96384872751869,34035,759.0,4.0
97,0500000US36081,"Queens County, New York",2278906,1105577,1173329,458368,234957,223411,499303,216004,283299,39.2,94.2,55.8,24.4,31.3,"Queens County, New York",36081,20.113510605527388,21.909767230416698,36081,3734.0,9.0
98,0500000US36119,"Westchester County, New York",967612,468837,498775,211845,109402,102443,228317,98942,129375,40.9,94.0,63.9,28.0,35.9,"Westchester County, New York",36119,21.89358957929418,23.595924812838202,36119,3235.0,17.0
99,0500000US37109,"Lincoln County, North Carolina",83770,41363,42407,17649,9077,8572,19646,9102,10544,44.7,97.5,61.6,27.5,34.0,"Lincoln County, North Carolina",37109,21.068401575743106,23.452309896144204,37109,101.0,1.0
100,0500000US42003,"Allegheny County, Pennsylvania",1218452,588659,629793,227749,116071,111678,320662,140250,180412,40.5,93.5,60.2,30.2,29.9,"Allegheny County, Pennsylvania",42003,18.691667788308443,26.317163088902966,42003,7775.0,30.0
101,0500000US45035,"Dorchester County, South Carolina",160647,78351,82296,39214,20360,18854,31436,13891,17545,37.4,95.2,62.3,22.7,39.6,"Dorchester County, South Carolina",45035,24.410041893094796,19.56837040218616,45035,104.0,2.0
102,0500000US48231,"Hunt County, Texas",96493,47884,48609,23048,12056,10992,22077,10462,11615,38.8,98.5,64.5,25.2,39.3,"Hunt County, Texas",48231,23.885670463142404,22.879379851388183,48231,271.0,3.0
103,0500000US51650,"Hampton city, Virginia",134313,64444,69869,27543,13835,13708,28622,12026,16596,36.6,92.2,56.0,24.0,32.0,"Hampton city, Virginia",51650,20.506577918742042,21.309925323684233,51650,812.0,3.0
104,0500000US01077,"Lauderdale County, Alabama",92387,45646,46741,17876,10400,7476,24132,10908,13224,41.1,97.7,64.7,32.8,31.9,"Lauderdale County, Alabama",01077,19.349042614220615,26.120558087176764,01077,358.0,1.0
105,0500000US09011,"New London County, Connecticut",266784,133585,133199,51733,26266,25467,68253,32650,35603,42.4,100.3,60.0,29.0,31.0,"New London County, Connecticut",09011,19.391342809163966,25.583618207988483,09011,465.0,2.0
106,0500000US17167,"Sangamon County, Illinois",195348,94821,100527,43207,22756,20451,48685,21485,27200,40.7,94.3,66.3,29.5,36.8,"Sangamon County, Illinois",17167,22.117963838892642,24.922190142719657,17167,1045.0,4.0
107,0500000US21111,"Jefferson County, Kentucky",770517,372347,398170,170794,87228,83566,175637,76045,99592,38.6,93.5,62.1,26.2,35.9,"Jefferson County, Kentucky",21111,22.166155970601555,22.794694990506375,21111,4795.0,16.0
108,0500000US21151,"Madison County, Kentucky",92368,45221,47147,18481,9337,9144,17701,8220,9481,34.5,95.9,51.0,20.8,30.2,"Madison County, Kentucky",21151,20.008011432530747,19.16356313874935,21151,130.0,2.0
109,0500000US22015,"Bossier Parish, Louisiana",127185,62135,65050,31590,15688,15902,24787,11140,13647,35.4,95.5,63.1,22.6,40.5,"Bossier Parish, Louisiana",22015,24.837834650312537,19.488933443409206,22015,404.0,4.0
110,0500000US24009,"Calvert County, Maryland",92003,46221,45782,21300,11624,9676,19606,9219,10387,40.4,101.0,60.8,23.5,37.2,"Calvert County, Maryland",24009,23.15141897546819,21.310174668217343,24009,76.0,1.0
111,0500000US26025,"Calhoun County, Michigan",134487,66126,68361,30702,16253,14449,33975,15694,18281,40.4,96.7,68.7,30.2,38.5,"Calhoun County, Michigan",26025,22.828972317026924,25.262664792879608,26025,317.0,4.0
112,0500000US34025,"Monmouth County, New Jersey",621354,302643,318711,131726,67419,64307,155312,71017,84295,43.6,95.0,63.3,28.7,34.6,"Monmouth County, New Jersey",34025,21.19983133608217,24.995735120398354,34025,2176.0,7.0
113,0500000US37119,"Mecklenburg County, North Carolina",1093901,526422,567479,257714,130801,126913,179491,78588,100903,35.2,92.8,53.3,17.2,36.1,"Mecklenburg County, North Carolina",37119,23.559170345396886,16.408340425687516,37119,2949.0,13.0
114,0500000US39055,"Geauga County, Ohio",94031,46724,47307,21318,10816,10502,26680,12636,14044,44.9,98.8,76.7,36.7,40.1,"Geauga County, Ohio",39055,22.671246716508385,28.373621465261458,39055,281.0,2.0
115,0500000US39119,"Muskingum County, Ohio",86183,42143,44040,19683,10009,9674,21919,9924,11995,40.9,95.7,68.0,29.6,38.4,"Muskingum County, Ohio",39119,22.838610862931205,25.43309005256257,39119,592.0,2.0
116,0500000US41043,"Linn County, Oregon",127335,62661,64674,27940,14429,13511,32079,15233,16846,39.8,96.9,70.2,32.9,37.3,"Linn County, Oregon",41043,21.942121176424394,25.192602191070794,41043,98.0,2.0
117,0500000US42017,"Bucks County, Pennsylvania",628195,308124,320071,128214,65392,62822,162101,74747,87354,44.0,96.3,64.1,30.6,33.5,"Bucks County, Pennsylvania",42017,20.409904567849154,25.804248680744035,42017,1299.0,9.0
118,0500000US42095,"Northampton County, Pennsylvania",304807,149975,154832,60924,31524,29400,76871,34357,42514,42.4,96.9,63.7,31.0,32.7,"Northampton County, Pennsylvania",42095,19.987729940585357,25.21956516746663,42095,362.0,2.0
119,0500000US45075,"Orangeburg County, South Carolina",86934,40963,45971,18752,9419,9333,22804,9851,12953,39.4,89.1,69.4,32.9,36.5,"Orangeburg County, South Carolina",45075,21.57038673016311,26.231393931028137,45075,301.0,2.0
120,0500000US48029,"Bexar County, Texas",1986049,980600,1005449,508269,258385,249884,340969,149525,191444,33.8,97.5,60.5,19.4,41.1,"Bexar County, Texas",48029,25.59196676416342,17.168206826719786,48029,8104.0,45.0
121,0500000US48091,"Comal County, Texas",148373,73782,74591,33673,17464,16209,38636,18127,20509,40.7,98.9,68.1,30.0,38.2,"Comal County, Texas",48091,22.694829921886058,26.039778126748125,48091,348.0,5.0
122,0500000US48361,"Orange County, Texas",83572,41520,42052,20803,10958,9845,19473,8965,10508,38.4,98.7,69.1,27.0,42.1,"Orange County, Texas",48361,24.892308428660318,23.300866318862777,48361,94.0,1.0
123,0500000US48497,"Wise County, Texas",68305,34125,34180,16842,8523,8319,14871,7606,7265,37.9,99.8,65.0,24.3,40.7,"Wise County, Texas",48497,24.65705292438328,21.771466217700024,48497,184.0,3.0
124,0500000US53009,"Clallam County, Washington",76737,38390,38347,13075,6890,6185,28540,13031,15509,50.6,100.1,84.9,53.4,31.5,"Clallam County, Washington",53009,17.038716655589873,37.19196736906577,53009,163.0,2.0
